MEASURE,DATA_ITEM,TSEST,FREQ,TIME_PERIOD,value
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2022-Q4,-14016
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2023-Q1,-24842
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2023-Q2,-4469
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2023-Q3,-27684
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2023-Q4,-47481
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2024-Q1,-41937
Current Prices,Primary income debits,Original,Quarterly,2022-Q1,-46861
Current Prices,Primary income debits,Original,Quarterly,2022-Q2,-48493
Current Prices,Primary income debits,Original,Quarterly,2022-Q3,-58366
Current Prices,Primary income debits,Original,Quarterly,2022-Q4,-49066
Current Prices,Primary income debits,Original,Quarterly,2023-Q1,-53850
Current Prices,Primary income debits,Original,Quarterly,2023-Q2,-40185
Current Prices,Primary income debits,Original,Quarterly,2023-Q3,-51041
Current Prices,Primary income debits,Original,Quarterly,2023-Q4,-42516
Current Prices,Primary income debits,Original,Quarterly,2024-Q1,-51575
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2022-Q1,39108
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2022-Q2,47253
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2022-Q3,8869
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2022-Q4,18433
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2023-Q1,256
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2023-Q2,-20376
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2023-Q3,-7300
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2023-Q4,5120
Current Prices,"Financial account, Portfolio investment",Original,Quarterly,2024-Q1,-8349
Current Prices,Goods and services,Original,Quarterly,2022-Q1,29037
Current Prices,Goods and services,Original,Quarterly,2022-Q2,45902
Current Prices,Goods and services,Original,Quarterly,2022-Q3,26160
Current Prices,Goods and services,Original,Quarterly,2022-Q4,33971
Current Prices,Goods and services,Original,Quarterly,2023-Q1,38073
Current Prices,Goods and services,Original,Quarterly,2023-Q2,26243
Current Prices,Goods and services,Original,Quarterly,2023-Q3,12557
Current Prices,Goods and services,Original,Quarterly,2023-Q4,24055
Current Prices,Goods and services,Original,Quarterly,2024-Q1,21497
Current Prices,Services debits,Original,Quarterly,2022-Q1,-18812
Current Prices,Services debits,Original,Quarterly,2022-Q2,-22422
Current Prices,Services debits,Original,Quarterly,2022-Q3,-29198
Current Prices,Services debits,Original,Quarterly,2022-Q4,-30643
Current Prices,Services debits,Original,Quarterly,2023-Q1,-28420
Current Prices,Services debits,Original,Quarterly,2023-Q2,-33408
Current Prices,Services debits,Original,Quarterly,2023-Q3,-39089
Current Prices,Services debits,Original,Quarterly,2023-Q4,-35653
Current Prices,Services debits,Original,Quarterly,2024-Q1,-33009
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2022-Q1,38820
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2022-Q2,-17604
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2022-Q3,-5959
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2022-Q4,-8912
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2023-Q1,-11097
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2023-Q2,-17244
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2023-Q3,10231
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2023-Q4,-14366
Current Prices,"Financial account, Other investment liabilities",Original,Quarterly,2024-Q1,781
Current Prices,Goods debits,Original,Quarterly,2022-Q1,-99089
Current Prices,Goods debits,Original,Quarterly,2022-Q2,-105625
Current Prices,Goods debits,Original,Quarterly,2022-Q3,-114946
Current Prices,Goods debits,Original,Quarterly,2022-Q4,-114454
Current Prices,Goods debits,Original,Quarterly,2023-Q1,-104621
Current Prices,Goods debits,Original,Quarterly,2023-Q2,-105906
Current Prices,Goods debits,Original,Quarterly,2023-Q3,-112239
Current Prices,Goods debits,Original,Quarterly,2023-Q4,-111473
Current Prices,Goods debits,Original,Quarterly,2024-Q1,-109311
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2022-Q1,-188
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2022-Q2,-267
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2022-Q3,-168
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2022-Q4,-115
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2023-Q1,-120
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2023-Q2,-139
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2023-Q3,-119
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2023-Q4,-130
Current Prices,"Capital account, Capital transfers",Original,Quarterly,2024-Q1,-135
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2022-Q1,-599
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2022-Q2,-462
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2022-Q3,-1721
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2022-Q4,-956
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2023-Q1,-2798
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2023-Q2,110
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2023-Q3,624
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2023-Q4,242
Current Prices,"Financial account, Reserve assets",Original,Quarterly,2024-Q1,-2227
